Directory,File Name,Function Types,Function Names,Function Params
chrome/content/zotero,debugViewer.js,ObjectPropertyFunction,onProgress,progressMax
chrome/content/zotero,debugViewer.js,ObjectPropertyFunction,getInterface,iid
chrome/content/zotero,debugViewer.js,ObjectPropertyFunction,QueryInterface,iid
chrome/content/zotero,debugViewer.js,FunctionDeclaration,showSubmitResult,id
chrome/content/zotero,debugViewer.js,FunctionDeclaration,copyIDToClipboard,elem
chrome/content/zotero,debugViewer.js,FunctionDeclaration,showSubmitError,e
chrome/content/zotero,debugViewer.js,FunctionDeclaration,clearSubmitStatus,NONE
chrome/content/zotero,debugViewer.js,FunctionDeclaration,clearOutput,button
chrome/content/zotero,dictionaryManager.js,FunctionDeclaration,_updateStatus,msg
chrome/content/zotero,editMenuOverlay.js,FunctionDeclaration,goUpdateGlobalEditMenuItems,force
chrome/content/zotero,editMenuOverlay.js,FunctionDeclaration,goUpdateUndoEditMenuItems,NONE
chrome/content/zotero,editMenuOverlay.js,FunctionDeclaration,goUpdatePasteMenuItems,NONE
chrome/content/zotero,editMenuOverlay.js,FunctionDeclaration,goBuildEditContextMenu,NONE
chrome/content/zotero/elements,abstractBox.js,ClassMethod,item,NONE
chrome/content/zotero/elements,abstractBox.js,ClassMethod,item,item
chrome/content/zotero/elements,abstractBox.js,ClassMethod,editable,NONE
chrome/content/zotero/elements,abstractBox.js,ClassMethod,editable,editable
chrome/content/zotero/elements,abstractBox.js,ClassMethod,init,NONE
chrome/content/zotero/elements,abstractBox.js,ClassMethod,destroy,NONE
chrome/content/zotero/elements,abstractBox.js,ClassMethod,notify,action
chrome/content/zotero/elements,abstractBox.js,ClassMethod,notify,type
chrome/content/zotero/elements,abstractBox.js,ClassMethod,notify,ids
chrome/content/zotero/elements,abstractBox.js,AsyncClassMethod,save,NONE
chrome/content/zotero/elements,abstractBox.js,AsyncClassMethod,blurOpenField,NONE
chrome/content/zotero/elements,abstractBox.js,ClassMethod,render,NONE
chrome/content/zotero/elements,abstractBox.js,AsyncClassMethod,asyncRender,NONE
chrome/content/zotero/elements,abstractBox.js,AsyncClassMethod,_renderFeedItem,NONE
chrome/content/zotero/elements,abstractBox.js,ClassMethod,_renderRegularItem,NONE
chrome/content/zotero/elements,abstractBox.js,ClassMethod,onStateChange,_progressData
chrome/content/zotero/elements,abstractBox.js,ClassMethod,onStateChange,_requestData
chrome/content/zotero/elements,abstractBox.js,ClassMethod,onStateChange,stateFlags
chrome/content/zotero/elements,abstractBox.js,ClassMethod,_discardFeedAbstractBrowser,NONE
chrome/content/zotero/elements,annotationRow.js,ClassMethod,observedAttributes,NONE
chrome/content/zotero/elements,annotationRow.js,ClassMethod,attributeChangedCallback,name
chrome/content/zotero/elements,annotationRow.js,ClassMethod,attributeChangedCallback,oldValue
chrome/content/zotero/elements,annotationRow.js,ClassMethod,attributeChangedCallback,newValue
chrome/content/zotero/elements,annotationRow.js,ClassMethod,annotation,NONE
chrome/content/zotero/elements,annotationRow.js,ClassMethod,annotation,annotation
chrome/content/zotero/elements,annotationRow.js,ClassMethod,init,NONE
chrome/content/zotero/elements,annotationRow.js,ClassMethod,render,NONE
chrome/content/zotero/elements,attachmentAnnotationsBox.js,ClassMethod,tabType,NONE
chrome/content/zotero/elements,attachmentAnnotationsBox.js,ClassMethod,tabType,tabType
chrome/content/zotero/elements,attachmentAnnotationsBox.js,ClassMethod,item,NONE
chrome/content/zotero/elements,attachmentAnnotationsBox.js,ClassMethod,item,item
chrome/content/zotero/elements,attachmentAnnotationsBox.js,ClassMethod,init,NONE
chrome/content/zotero/elements,attachmentAnnotationsBox.js,ClassMethod,destroy,NONE
chrome/content/zotero/elements,attachmentAnnotationsBox.js,ClassMethod,notify,event
chrome/content/zotero/elements,attachmentAnnotationsBox.js,ClassMethod,notify,_type
chrome/content/zotero/elements,attachmentAnnotationsBox.js,ClassMethod,notify,ids
chrome/content/zotero/elements,attachmentAnnotationsBox.js,ClassMethod,notify,_extraData
chrome/content/zotero/elements,attachmentAnnotationsBox.js,ClassMethod,render,NONE
chrome/content/zotero/elements,attachmentAnnotationsBox.js,AsyncClassMethod,asyncRender,NONE
chrome/content/zotero/elements,attachmentAnnotationsBox.js,ClassMethod,addRow,annotation
chrome/content/zotero/elements,attachmentAnnotationsBox.js,ClassMethod,updateCount,NONE
chrome/content/zotero/elements,attachmentAnnotationsBox.js,ClassMethod,_updateHidden,NONE
chrome/content/zotero/elements,attachmentBox.js,ClassMethod,constructor,NONE
chrome/content/zotero/elements,attachmentBox.js,ClassMethod,mode,NONE
chrome/content/zotero/elements,attachmentBox.js,ClassMethod,mode,val
chrome/content/zotero/elements,attachmentBox.js,ClassMethod,editable,NONE
chrome/content/zotero/elements,attachmentBox.js,ClassMethod,editable,editable
chrome/content/zotero/elements,attachmentBox.js,ClassMethod,usePreview,NONE
chrome/content/zotero/elements,attachmentBox.js,ClassMethod,usePreview,val
chrome/content/zotero/elements,attachmentBox.js,ClassMethod,tabType,NONE
chrome/content/zotero/elements,attachmentBox.js,ClassMethod,tabType,tabType
chrome/content/zotero/elements,attachmentBox.js,ClassMethod,item,NONE
chrome/content/zotero/elements,attachmentBox.js,ClassMethod,item,val
chrome/content/zotero/elements,attachmentBox.js,ClassMethod,previewElem,NONE
chrome/content/zotero/elements,attachmentBox.js,ClassMethod,init,NONE
chrome/content/zotero/elements,attachmentBox.js,ClassMethod,destroy,NONE
chrome/content/zotero/elements,attachmentBox.js,ClassMethod,notify,event
chrome/content/zotero/elements,attachmentBox.js,ClassMethod,notify,_type
chrome/content/zotero/elements,attachmentBox.js,ClassMethod,notify,ids
chrome/content/zotero/elements,attachmentBox.js,ClassMethod,notify,_extraData
chrome/content/zotero/elements,attachmentBox.js,AsyncClassMethod,asyncRender,NONE
chrome/content/zotero/elements,attachmentBox.js,ClassMethod,discard,NONE
chrome/content/zotero/elements,attachmentBox.js,ClassMethod,onViewClick,event
chrome/content/zotero/elements,attachmentBox.js,ClassMethod,onShowClick,event
